"ID","plot","fenced","shannon","notes"
1,1,TRUE,1.60033144887612,""
2,1,TRUE,1.17381541322372,""
3,1,FALSE,0.277939117252322,""
4,1,FALSE,0.851011824025254,""
5,2,TRUE,2.42465520643696,""
6,2,TRUE,2.47223077059757,""
7,2,FALSE,1.2265213945938,""
8,2,FALSE,1.14186765305689,""
9,3,TRUE,2.72824460704392,""
10,3,TRUE,2.66298247615659,""
11,3,FALSE,2.01552257337272,""
12,3,FALSE,2.12371368967646,""
13,4,TRUE,2.26095313711301,""
14,4,TRUE,1.83443710146062,"fence was trampled"
15,4,FALSE,1.28364495229513,""
16,4,FALSE,1.85671765906806,""
17,5,TRUE,2.33679677673076,""
18,5,TRUE,2.38437234089138,""
19,5,FALSE,1.08613534911084,""
20,5,FALSE,1.00148160757393,""
21,6,TRUE,2.59815575123254,""
22,6,TRUE,2.5328936203452,""
23,6,FALSE,2.10674635886526,""
24,6,FALSE,2.21493747516899,""
25,7,TRUE,2.29680947685593,""
26,7,TRUE,1.87029344120353,""
27,7,FALSE,1.22609688377856,""
28,7,FALSE,1.79916959055149,""
29,8,TRUE,2.36745401396194,""
30,8,TRUE,2.41502957812256,""
31,8,FALSE,1.17492972361768,""
32,8,FALSE,1.09027598208077,""
33,9,TRUE,2.69563368861575,""
34,9,TRUE,2.63037155772841,""
35,9,FALSE,2.05409134308489,""
36,9,FALSE,2.16228245938863,""
37,10,TRUE,2.50882583608892,""
38,10,TRUE,2.08230980043653,""
39,10,FALSE,1.51279925352198,""
40,10,FALSE,2.08587196029491,""
41,11,TRUE,2.64606019679033,""
42,11,TRUE,2.69363576095094,"catch samples were lost"
43,11,FALSE,1.77681965653667,""
44,11,FALSE,1.69216591499975,""
45,12,TRUE,1.92495268479154,"fence was trampled"
46,12,TRUE,1.85969055390421,""
47,12,FALSE,1.10800985852634,""
48,12,FALSE,1.21620097483007,""
